Report num,use case question gen time,all ontology generation time,total time
1,23.42,82.42,105.84
2,5.32,80.63,85.95
3,5.06,82.74,87.80
4,6.92,83.63,90.55
5,4.99,73.74,78.73
6,5.14,93.62,98.76
7,5.01,87.91,92.93
8,4.99,86.20,91.19
9,5.81,84.98,90.79
10,5.41,84.41,89.82
11,5.15,87.02,92.17
12,5.43,119.80,125.23
13,5.33,106.02,111.35
14,5.14,89.14,94.28
15,5.62,96.27,101.90
16,5.17,93.06,98.23
17,5.69,99.64,105.33
18,5.73,111.98,117.71
19,5.89,115.68,121.57
20,5.16,96.71,101.87
21,4.83,100.58,105.41
22,5.80,98.70,104.50
23,5.39,110.01,115.40
24,5.23,103.00,108.23
25,5.90,110.96,116.87
26,6.36,104.16,110.52
